Num	Pokemon	HP	Atk	Def	SA	SD	Spd	Total	Evolves_From	Evolves_Into	Ability	Evolves_Condition
1	Abomasnow	90	92	75	92	85	60	494	Snover	--	Snow Warning	--
2	Abra	25	20	15	105	55	90	310	--	Kadabra	Synchronize	1
3	Absol	65	130	60	75	60	75	465	--	--	Pressure	--
4	Aipom	55	70	55	40	55	85	360	--	Ambipom	Run Away	5
5	Anorith	45	95	50	40	50	75	355	--	Armaldp	Battle Armor	5
6	Aron	50	70	100	40	40	30	330	--	Lairon	Sturdy	3
7	Articuno	90	85	100	95	125	85	580	--	--	Pressure	--
8	Azelf	75	125	70	125	70	115	580	--	--	Levitate	--
9	Azumarill	100	50	80	50	80	50	410	Marill	--	Thick Fat	--
10	Azurill	50	20	40	20	40	20	190	--	Marill	Thick Fat	2
11	Bagon	45	75	60	40	30	50	300	--	Shelgon	Rock Head	1
12	Baltoy	40	40	55	40	70	55	300	--	Claydol	Levitate	4
13	Banette	64	115	65	83	63	65	455	Shuppet	--	Insomnia	--
14	Barboach	50	48	43	46	41	60	288	--	Whiscash	Oblivious	1
15	Bastiodon	60	52	168	47	138	30	495	Shiledon	--	Sturdy	--
16	Bayleef	60	62	80	63	80	69	414	Chikorita	Cynaquil	Overgrow	5
17	Beautifly	60	70	50	90	50	65	385	Silcoon	--	Swarm	--
18	Beedrill	65	80	40	40	80	75	380	Kakuna	--	Swarm	--
19	Beldum	40	55	80	35	60	30	300	--	Metang	Clear Body	5
20	Bellsprout	50	75	35	70	30	40	300	--	Weepinbell	Chlorophyll	1
21	Bidoof	59	45	40	35	40	31	250	--	Dbibarel	Simple	5
22	Bonsly	50	80	95	10	45	10	290	--	Sudowoodo	Sturdy	3
23	Bronzor	57	24	86	24	86	23	300	--	Bronzong	Levitate	2
24	Budew	40	30	35	50	70	55	280	--	Roselia	Natural Cure	5
25	Buizel	55	65	35	60	30	85	330	--	Floatzel	Swift Swim	4
26	Bulbasaur	45	49	49	65	65	45	318	--	Ivysaur	Overgrow	3
27	Buneary	55	66	44	44	56	85	350	--	Lopunny	Run Away	5
28	Cacnea	50	85	40	85	40	35	335	--	Cacturne	Sand Veil	3
29	Carvanha	45	90	20	65	20	65	305	--	Sharpedo	Rough Skin	5
30	Cascoon	50	35	55	25	25	15	205	Wurmple	Dustox	Shed Skin	2
31	Caterpie	45	30	35	20	20	45	195	--	Metapod	Shield Dust	4
32	Celebi	100	100	100	100	100	100	600	--	--	Natural Cure	--
33	Chansey	250	5	5	35	105	50	450	Happiny	Blissey	Natural Cure	4
34	Charizard	78	84	78	109	85	100	534	Charmeleon	--	Blaze	--
35	Charmander	39	52	43	60	50	65	309	--	Charmeleon	Blaze	3
36	Charmeleon	58	64	58	80	65	80	405	Charmander	Charizard	Blaze	1
37	Chatot	76	65	45	92	42	91	411	--	--	Keen Eye	--
38	Cherrim	70	60	70	87	78	85	450	Cherubi	--	Flower Gift	--
39	Cherubi	45	35	45	62	53	35	275	--	Cherrim	Chlorophyll	3
40	Chikorita	45	49	65	49	65	45	318	--	Bayleef	Overgrow	1
41	Chimchar	44	58	44	58	44	61	309	--	Monferno	Blaze	5
42	Chimecho	65	50	70	95	80	65	425	Chingling	--	Levitate	--
43	Chinchou	75	38	38	56	56	67	330	--	Lanturn	Volt Absorb	2
44	Chingling	45	30	50	65	50	45	285	--	Chimeco	Levitate	1
45	Claydol	60	70	105	70	120	75	500	Baltoy	--	Levitate	--
46	Clefable	95	70	73	85	90	60	473	Clefairy	--	Cute Charm	--
47	Clefairy	70	45	48	60	65	35	323	Cleffa	Clefable	Cute Charm	4
48	Cleffa	50	25	28	45	55	15	218	--	Clefairy	Cute Charm	5
49	Cloyster	50	90	180	85	45	70	520	Shellder	--	Shell Armor	--
50	Combee	30	30	42	30	42	70	244	--	Vespiquen	Honey Gather	3
51	Combusken	60	85	60	85	60	55	405	Torchic	Blaziken	Blaze	4
52	Corphish	43	80	65	50	35	35	308	--	Crawdaunt	Hyper Cutter	5
53	Corsola	55	55	85	65	85	35	380	--	--	Hustle	--
54	Cradily	86	81	97	81	107	43	495	Lileep	--	Suction Cups	--
55	Cranidos	67	125	40	30	30	58	350	--	Ramparados	Mold Breaker	5
56	Crawdaunt	63	120	85	90	55	55	468	Corphish	--	Hyper Cutter	--
